"date","url","title","author","backlink","type","subject","internal","others"
"12/16/2015","https://www.cryptocoinsnews.com/bitcoin-developers-are-creating-a-new-digital-currency-called-decred/","Bitcoin Developers Are Creating a New Digital Currency Called Decred","Samburaj Das",,,"launch","no","no"
"12/22/2015","http://bitcoinist.com/decred-the-new-kid-on-the-digital-currency-block/","Decred: The New Kid on the Digital Currency Block","Nick Marinoff","Yes",,"launch","no","no"
"12/28/2015","https://calvinayre.com/2015/12/28/bitcoin/bitcoin-developers-create-new-digital-currency/","Cryptocurrency roundup: Bitcoin developers create new digital currency, ","Jasmine Solana","No",,"launch","no","no"
"12/28/2015","http://news.softpedia.com/news/amid-bitcoin-centralization-worries-core-developers-start-new-currency-called-decred-498137.shtml","Amid Bitcoin Centralization Worries, Developers Start New Currency Called Decred","Catalin Cimpanu","Yes",,"launch","no","no"
"12/28/2015","https://thehackernews.com/2015/12/decred-bitcoin-currency.html","Bitcoin Core Developers Quit Bitcoin Project to Launch a New Digital Currency","Swati Khandelwal","No",,"launch","no","no"
"12/29/2015","http://www.the-blockchain.com/2015/12/29/bitcoin-developers-bail-to-start-new-digital-currency/","Bitcoin Developers Bail to Start New Digital Currency","Richard Kastelein","Yes",,"launch","no","no"
"12/29/2015","https://cointelegraph.com/news/decred-an-innovative-cryptocurrency-or-a-well-arranged-scam","Decred: An Innovative Cryptocurrency or A Well Arranged Scam?","Jacob Timp","Yes",,"launch","no","no"
"12/29/2015","https://securityintelligence.com/news/digital-currency-divide-bitcoin-decred-and-the-virtual-finance-future/","Digital Currency Divide: Bitcoin, Decred and the Virtual Finance Future","Douglas Bonderud",,,"launch","no","no"
"12/31/2015","https://www.coindesk.com/press-releases/meet-decred-digital-currency-bitcoin-developers/","Meet Decred: A Digital Currency by Bitcoin Developers","Jake Yocom-Piatt",,"press release",,"no",
"2/10/2016","http://www.chicagotribune.com/bluesky/originals/ct-decred-bitcoin-alternative-bsi-20160210-story.html","Chicago developers launch Decred, a Bitcoin alternative","Amina Elahi","No",,,,"no"
"12/16/2016","http://www.altcointoday.com/bitcoin-developers-new-digital-currency/","Bitcoin Developers Are Creating a New Digital Currency Called Decred",,"Yes",,,,"no"
"2/4/2017","https://cointelegraph.com/news/what-to-watch-out-for-before-investing-in-altcoins-litecoin-creator","What to Watch Out For Before Investing in Altcoins: Litecoin Creator","Olusegun Ogundeji","No",,,,"yes"
"3/4/2017","https://www.coindesk.com/short-guide-blockchain-consensus-protocols/","Guide to Blockchain Consensus Protocols","Amy Castor",,"guide",,,"yes"
"3/13/2017","https://medium.com/decred/3-things-you-need-to-know-about-decred-649aac41dc4","3 Things You Need to Know About Decred","Jon Creasy","Yes","enumerator",,,
"3/28/2017","https://coins.newbium.com/post/7425-decred-experienced-a-sharp-increase-in-market-capi","Decred experienced a sharp increase in market capitalization, reaching 12 in the market","saramago","No",,"price",,
"4/20/2017","https://www.forbes.com/sites/laurashin/2017/04/20/why-bitcoins-greatest-asset-could-also-spell-its-doom/","Why Bitcoin's Greatest Asset Could Also Spell Its Doom","Laura Shin","Yes",,,,
"4/21/2017","https://www.coindesk.com/800-growth-q1s-top-performing-cryptocurrencies-posted-big-gains/","Q1's Top Performing Cryptocurrencies Saw Big Gains","Garrett Keirns",,,"price",,
"4/21/2017","http://www.prnewswire.com/news-releases/decred-releases-v10-the-worlds-first-cryptocurrency-of-the-people-for-the-people-and-by-the-people-300443738.html","Decred Releases v1.0: The World's First Cryptocurrency of the People, for the People, and by the People","Emilio Mann",,"press release",,"yes",
"4/27/2017","http://allcoinsnews.com/2017/04/27/decred-cryptocurrency-project-v1-0-released/","Decred Cryptocurrency Project v1.0 Released","Matthew Warner","No",,,,
"4/28/2017","https://cointelegraph.com/news/top-10-altcoins-all-you-wanted-to-know-about-bitcoins-contenders","Top 10 Altcoins: All You Wanted to Know About Bitcoin's Contenders","Anthony Coggine","No",,,,
"4/30/2017","http://bitcoinist.com/decred-democratic-cryptocurrency-platform-receives-upgrade/","Decred, the world's first fully democratic cryptocurrency platform receives an upgrade","Cynthia Turcotte",,,,,
"5/12/2017","https://www.cryptoninjas.net/2017/05/12/cryptocurrency-exchange-changelly-adds-support-altcoin-decred/","Cryptocurrency exchange Changelly adds support for altcoin Decred",,,,,,
"6/17/2017","https://bravenewcoin.com/news/decred-launches-decentralized-voting-process-for-blockchain-protocol-changes/","Decred launches decentralized voting process for blockchain protocol changes","Christine Chiang","Yes",,,,
